.base,variable,variable_label,valor,n,total,pct
Test,ESTRATO,Estrato,0,404,10286,0.03927668675870115
Test,ESTRATO,Estrato,1,38,10286,0.0036943418238382267
Test,ESTRATO,Estrato,2,77,10286,0.007485903169356407
Test,ESTRATO,Estrato,3,362,10286,0.035193466848143104
Test,ESTRATO,Estrato,4,1198,10286,0.1164689869725841
Test,ESTRATO,Estrato,5,1491,10286,0.14495430682481042
Test,ESTRATO,Estrato,6,6716,10286,0.6529263076025666
Test,GRUPOUSOEC,Grupo de uso económico,BODEGAS,10,10286,9.721952167995333e-4
Test,GRUPOUSOEC,Grupo de uso económico,COMERCIO Y OFICINAS,1389,10286,0.13503791561345518
Test,GRUPOUSOEC,Grupo de uso económico,DEPÓSITOS Y PARQUEADEROS,18,10286,0.00174995139023916
Test,GRUPOUSOEC,Grupo de uso económico,DOTACIONAL,262,10286,0.025471514680147772
Test,GRUPOUSOEC,Grupo de uso económico,OTROS,225,10286,0.0218743923779895
Test,GRUPOUSOEC,Grupo de uso económico,RESIDENCIAL,8382,10286,0.8148940307213689
Train,ESTRATO,Estrato,0,2683,38644,0.06942863057654487
Train,ESTRATO,Estrato,1,12,38644,3.105268605734396e-4
Train,ESTRATO,Estrato,2,611,38644,0.0158109926508643
Train,ESTRATO,Estrato,3,6082,38644,0.15738536383397164
Train,ESTRATO,Estrato,4,10745,38644,0.27805092640513407
Train,ESTRATO,Estrato,5,9543,38644,0.24694648587102785
Train,ESTRATO,Estrato,6,8968,38644,0.23206707380188385
Train,GRUPOUSOEC,Grupo de uso económico,BODEGAS,453,38644,0.011722388986647346
Train,GRUPOUSOEC,Grupo de uso económico,COMERCIO Y OFICINAS,2623,38644,0.06787599627367767
Train,GRUPOUSOEC,Grupo de uso económico,DEPÓSITOS Y PARQUEADEROS,327,38644,0.008461856950626229
Train,GRUPOUSOEC,Grupo de uso económico,DOTACIONAL,590,38644,0.01526757064486078
Train,GRUPOUSOEC,Grupo de uso económico,INDUSTRIAL,50,38644,0.0012938619190559983
Train,GRUPOUSOEC,Grupo de uso económico,OTROS,1259,38644,0.03257944312183004
Train,GRUPOUSOEC,Grupo de uso económico,RESIDENCIAL,33342,38644,0.8627988821033019
