grupo,variable,variable_label,n_validos_Test,n_validos_Train,pct_missing_Test,pct_missing_Train,media_Test,media_Train,sd_Test,sd_Train,min_Test,min_Train,p25_Test,p25_Train,mediana_Test,mediana_Train,p75_Test,p75_Train,max_Test,max_Train,dif_media_Test_Train,dif_mediana_Test_Train
Características estructurales,Numero_banos,Número de baños,10286,38644,0,0,2.724285436515652,2.865270158368699,0.8788872122949978,0.9877530615182577,1,1,2,2,3,3,3,3,10,13,-0.14098472185304667,0
Características estructurales,Numero_bedrooms,Número de habitaciones,10286,38644,0,0,2.380906085942057,3.1446020080736985,0.961262839953188,1.5348175904035068,0,0,2,2,2,3,3,3,11,11,-0.7636959221316415,-1
Características estructurales,Numero_rooms,Número de cuartos,6525,24147,36.564262103830444,37.514232481109616,2.4006130268199235,3.022197374415041,0.9238973864729587,1.339560199348287,1,1,2,2,2,3,3,3,11,11,-0.6215843475951175,-1
Características estructurales,superficie,Superficie,5388,19346,47.618121718841145,49.937894627885306,152.6546028210839,147.30306006409594,1483.6018514833638,202.64187588177876,10,2,77,80,118,110,162,170,108800,17137,5.3515427569879535,8
Datos Abiertos Bogotá,MED_VALOR_,Mediana valor referencia,10286,38644,0,0,1484557872.3021584,7974407333.3376465,10305061943.95591,97003585413.25443,4757000,5957000,50539000,51383000,193127000,194220000,384728000,324878500,230722645000,1783314846000,-6489849461.035488,-1093000
Datos Abiertos Bogotá,NO_PREDIOS,Número de predios,10286,38644,0,0,358.5762201049971,455.2642324811096,300.2048624365909,632.3033727842828,1,1,159,57,294,236,457,571,1961,5785,-96.68801237611251,58
Datos Abiertos Bogotá,V_REF,Valor de referencia,10286,38644,0,0,5903610.566498153,3621313.891859021,1880835.6443150106,1458909.7709480638,0,0,5400000,2700000,6100000,3350000,6500000,4700000,13290000,23240000,2282296.674639132,2750000
Datos Abiertos Bogotá,seguridad,Seguridad,10286,38644,0,0,2.364378767256465,2.482714004761412,0.7644449742464994,0.6869087411308314,0,0,2,2,2,3,3,3,4,4,-0.1183352375049469,-1
OSM: distancias y conteos,dist_aeropuerto,Distancia a aeropuerto,10286,38644,0,0,8399.856235103292,7881.423150956691,642.0052876764312,2329.586033882439,2702.936743900808,9.741046805979533,7829.454360719233,6830.645652609548,8552.064010440852,8450.71039451078,8925.437127193945,9541.833124424924,12914.67058970222,13357.40082773698,518.4330841466017,101.35361593007292
OSM: distancias y conteos,dist_cai,Distancia a CAI / policía,10286,38644,0,0,428.8211784887707,718.6820186478567,208.93506277843792,367.60011229416534,4.685281966443745,1.53609135825964,266.0037475648418,432.28717179404975,424.5203461881191,680.3024181973116,583.960901172147,967.5197034502893,1687.595737494936,2174.632133973295,-289.86084015908597,-255.78207200919246
OSM: distancias y conteos,dist_centro,Distancia al centro,10286,38644,0,0,5546.56391883496,5117.566769000128,1436.0693563225404,3175.43010723641,1.553864475179234,1.553864475179234,4321.657524376077,3189.830018094971,5297.079894866714,4163.352706746361,6613.921125742003,5776.524433428205,13700.05137957145,18128.37163414542,428.99714983483136,1133.7271881203533
OSM: distancias y conteos,dist_hospital,Distancia a hospital,10286,38644,0,0,612.7953803456693,700.4206386117374,313.758229782505,498.23017621156225,2.051203027425473,0.6130199702686047,362.62243067355064,329.043747505515,610.8338437797506,572.4145629673635,789.4184307832181,938.5100711659471,3145.979469390704,3549.316227595823,-87.62525826606816,38.419280812387115
OSM: distancias y conteos,dist_parque,Distancia a parque,10286,38644,0,0,125.64676616337574,113.45543203811619,95.11731397305998,89.53339199592067,0.5020445872913115,0.7255132750810639,55.5040698452696,48.55186140334919,106.22165387525746,91.44486883908704,173.348799966811,154.39489177366505,1225.423610140209,2897.318429276488,12.191334125259559,14.776785036170423
OSM: distancias y conteos,dist_transmilenio,Distancia a estación de transporte,10286,38644,0,0,1434.3610345223374,2221.4336846393703,525.2578283004754,1367.268814394745,11.39735118151753,3.707808889926096,1051.521484138977,1084.951193749167,1472.946271092866,1943.838014460845,1858.708644081411,3269.757181843542,5328.059193060047,8657.660769551827,-787.0726501170329,-470.89174336797896
OSM: distancias y conteos,n_colegios_1km,Colegios en 1 km,10286,38644,0,0,2.0825393739062803,1.8458492909636683,2.530108901246852,2.2113019890954457,0,0,0,1,1,1,3,2,14,15,0.23669008294261196,0
OSM: distancias y conteos,n_estaciones_1km,Estaciones en 1 km,10286,38644,0,0,4.991347462570484,2.400553772901356,11.721729942144824,7.886310843336732,0,0,0,0,0,0,0,0,61,66,2.590793689669128,0
OSM: distancias y conteos,n_supermercados_1km,Supermercados en 1 km,10286,38644,0,0,12.16449543068248,12.12410723527585,6.000483481827243,6.49046601966982,0,0,8,7,13,12,15,16,39,62,0.040388195406629634,1
OSM: distancias y conteos,n_tiendas_1km,Tiendas en 1 km,10286,38644,0,0,469.5765117635621,450.8757892557706,343.5495506567647,244.54738018935745,0,0,245,287,345,415,635,564.25,1834,1858,18.70072250779151,-70
