.base,variable,n_total,n_validos,n_missing,pct_missing,media,sd,min,p25,mediana,p75,max,grupo,variable_label
Test,MED_VALOR_,10286,10286,0,0,1484557872.3021584,10305061943.95591,4757000,50539000,193127000,384728000,230722645000,Datos Abiertos Bogotá,Mediana valor referencia
Test,NO_PREDIOS,10286,10286,0,0,358.5762201049971,300.2048624365909,1,159,294,457,1961,Datos Abiertos Bogotá,Número de predios
Test,Numero_banos,10286,10286,0,0,2.724285436515652,0.8788872122949978,1,2,3,3,10,Características estructurales,Número de baños
Test,Numero_bedrooms,10286,10286,0,0,2.380906085942057,0.961262839953188,0,2,2,3,11,Características estructurales,Número de habitaciones
Test,Numero_rooms,10286,6525,3761,36.564262103830444,2.4006130268199235,0.9238973864729587,1,2,2,3,11,Características estructurales,Número de cuartos
Test,V_REF,10286,10286,0,0,5903610.566498153,1880835.6443150106,0,5400000,6100000,6500000,13290000,Datos Abiertos Bogotá,Valor de referencia
Test,dist_aeropuerto,10286,10286,0,0,8399.856235103292,642.0052876764312,2702.936743900808,7829.454360719233,8552.064010440852,8925.437127193945,12914.67058970222,OSM: distancias y conteos,Distancia a aeropuerto
Test,dist_cai,10286,10286,0,0,428.8211784887707,208.93506277843792,4.685281966443745,266.0037475648418,424.5203461881191,583.960901172147,1687.595737494936,OSM: distancias y conteos,Distancia a CAI / policía
Test,dist_centro,10286,10286,0,0,5546.56391883496,1436.0693563225404,1.553864475179234,4321.657524376077,5297.079894866714,6613.921125742003,13700.05137957145,OSM: distancias y conteos,Distancia al centro
Test,dist_hospital,10286,10286,0,0,612.7953803456693,313.758229782505,2.051203027425473,362.62243067355064,610.8338437797506,789.4184307832181,3145.979469390704,OSM: distancias y conteos,Distancia a hospital
Test,dist_parque,10286,10286,0,0,125.64676616337574,95.11731397305998,0.5020445872913115,55.5040698452696,106.22165387525746,173.348799966811,1225.423610140209,OSM: distancias y conteos,Distancia a parque
Test,dist_transmilenio,10286,10286,0,0,1434.3610345223374,525.2578283004754,11.39735118151753,1051.521484138977,1472.946271092866,1858.708644081411,5328.059193060047,OSM: distancias y conteos,Distancia a estación de transporte
Test,n_colegios_1km,10286,10286,0,0,2.0825393739062803,2.530108901246852,0,0,1,3,14,OSM: distancias y conteos,Colegios en 1 km
Test,n_estaciones_1km,10286,10286,0,0,4.991347462570484,11.721729942144824,0,0,0,0,61,OSM: distancias y conteos,Estaciones en 1 km
